gen,ind,L,objective_function_1,objective_function_2,constraint_ea_min,Ds,lc,ls,A_proj,A_nec,Nt,Nb,Re_t,Res,jl,js,jb,jr,jc,delta_PT,delta_Ps,hio,hs
1,1,2.358718892677511,7.340478686035002,46170.356997152696,98.03123201187454,0.254,0.0743231685276151,0.4978874239419926,7.340478686035002,105.33395140350378,52.0,4.0,122729.66156450263,45485.15685490328,0.9289052547657289,1.2,0.9337575458049127,1.0,1.0020383704447615,86448.00910228035,28556.56210512766,3817.068206032614,2828.834982615712
1,2,1.239841961090119,1000000.0,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,
1,3,3.5716521570360684,23.08541916804658,18825062.64315204,86.51872921481302,0.38735,0.07566289996327015,0.5588961280738265,23.08541916804658,124.91250973147315,108.0,6.0,544457.9448648181,10647.63166259569,0.9160535153215823,1.1428571428571428,0.9212201780961882,1.0,1.1354069019822721,18838097.731163647,1313.9980116040947,36722.179258396536,1315.7125183995656
1,4,2.321501757597631,24.08218888671681,104731.84295915725,88.33689994301997,0.43815,0.15979696335924345,0.18922777867858998,24.08218888671681,144.52406097525042,130.0,12.0,39591.46317389989,65486.711709080024,0.6718984018748492,1.0769230769230769,0.8719004257692834,1.0,0.8305875871697198,5513.98571905521,10412.42132178753,3382.980385771608,1344.1969445013676
1,5,6.760836990487955,312.7697993379156,113447.78190409619,-3.145015948694901,0.889,0.18593356589107835,1.248940436381106,312.7697993379156,289.2133276731835,773.0,5.0,15551.396259426552,4457.4140175820885,0.9239065542854511,1.1666666666666667,0.9561247310682591,1.0,1.0824083174215673,5838.8792606755305,1371.588835228268,731.1151798583896,743.661022027775
1,6,2.1636731676632084,1000000.0,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,
1,7,4.610831283751883,108.9066831676856,95071.280927656,54.87810375538558,0.6858,0.2305058735315501,1.0528961044158724,108.9066831676856,217.28364512822594,296.0,4.0,45292.80529835233,16683.01015781904,0.8946588579633392,1.2,0.9060230894863459,1.0,0.8753772515368581,22267.58740666657,3319.381665677427,1289.5997215921802,889.89335221857
1,8,1.7319911610488647,3.316962047373424,2145485.2769926107,100.68603162649474,0.254,0.05323576078724505,0.1580331550085215,3.316962047373424,76.88888188761261,24.0,10.0,558611.2653463454,246591.20344571158,0.7674877551648949,1.0909090909090908,0.8877466653937693,1.0,1.1645998633864023,1974615.6222869842,291527.9047056263,9623.19544213034,4896.999041882235
1,9,9.444450079348007,903.2298943567805,119314.64252977757,-20.11448844822855,1.2191999999999998,0.31292729398342944,1.3330426849446493,903.2298943567805,721.9227010071902,1598.0,7.0,3761.335828703606,4258.8580813736,0.8718184694068871,1.125,0.9456019909628928,1.0,1.001304142254738,313.5904237624501,1030.017046459971,176.10840457766326,516.0257129208558
1,10,2.232663289320396,13.09465799131847,45244.394370300324,93.97217516122947,0.30479999999999996,0.07390398699604846,0.48427215612820734,13.09465799131847,118.74198387048705,98.0,4.0,65121.86123830752,66168.50253457027,0.8448849410637933,1.2,0.8514380409947093,1.0,1.0781195969668973,25174.854634440293,50239.00099525938,2299.067565767479,3007.763480990937
