gen,ind,L,objective_function_1,objective_function_2,constraint_ea_min,Ds,lc,ls,A_proj,A_nec,Nt,Nb,Re_t,Res,jl,js,jb,jr,jc,delta_PT,delta_Ps,hio,hs
1,1,1.9929908298277614,4.452940796677281,6077531.643131251,100.11189942876817,0.254,0.05855155604161322,0.24608537337092654,4.452940796677281,91.09756912295101,28.0,8.0,735270.0303724265,97212.5899945473,0.7800626336411365,1.1111111111111112,0.7707438645843065,1.0,1.1303764588359138,6102102.25792282,12849.52479156799,35024.80528951934,2465.9578176180894
1,2,2.551035543573221,6.10690766632489,831187.250496437,97.53590143574893,0.254,0.05152323364565682,0.35254250688813576,6.10690766632489,81.81708231418078,40.0,7.0,300530.7327134182,90859.41811165822,0.8649927057771523,1.125,0.9076080459052918,1.0,1.160627469836895,864563.7527608855,87281.74773555147,7814.143873374531,4270.699458552256
2,3,12.268093859438066,1140.2324550770008,116028.64779793256,-158.9369729273269,1.2191999999999998,0.2473115214991527,1.514821232891647,1140.2324550770008,432.00937043062754,1553.0,8.0,8218.856923830182,3747.795111608768,0.8807364813503565,1.1111111111111112,0.9452424222139033,1.0,1.0869601770656976,3626.6340241467146,1002.9681779207206,425.2458450204274,508.6482288074236
2,4,15.306213261439325,2299.250736371321,118128.21051498593,-266.194761219915,1.524,0.3091394018739409,1.3330426849446493,2299.250736371321,619.4189618449723,2510.0,11.0,4789.334385871205,3366.1716713040255,0.8334198102122914,1.0833333333333333,0.9594717256867812,1.0,1.0815516405265755,1456.4847350431944,1073.5547499708787,239.71019353271362,438.0456117495227
3,3,12.268093859438066,1140.2324550770008,116028.64779793256,-158.9369729273269,1.2191999999999998,0.2473115214991527,1.514821232891647,1140.2324550770008,432.00937043062754,1553.0,8.0,8218.856923830182,3747.795111608768,0.8807364813503565,1.1111111111111112,0.9452424222139033,1.0,1.0869601770656976,3626.6340241467146,1002.9681779207206,425.2458450204274,508.6482288074236
3,4,15.306213261439325,2299.250736371321,118128.21051498593,-266.194761219915,1.524,0.3091394018739409,1.3330426849446493,2299.250736371321,619.4189618449723,2510.0,11.0,4789.334385871205,3366.1716713040255,0.8334198102122914,1.0833333333333333,0.9594717256867812,1.0,1.0815516405265755,1456.4847350431944,1073.5547499708787,239.71019353271362,438.0456117495227
4,3,12.268093859438066,1140.2324550770008,116028.64779793256,-158.9369729273269,1.2191999999999998,0.2473115214991527,1.514821232891647,1140.2324550770008,432.00937043062754,1553.0,8.0,8218.856923830182,3747.795111608768,0.8807364813503565,1.1111111111111112,0.9452424222139033,1.0,1.0869601770656976,3626.6340241467146,1002.9681779207206,425.2458450204274,508.6482288074236
4,8,13.29043501439124,1469.8939955339063,116871.70994996969,-199.5315828574461,1.3208,0.27088114301948185,1.514821232891647,1469.8939955339063,482.67374495011785,1848.0,8.0,6906.864070729585,3443.4056609197314,0.8744168143579478,1.1111111111111112,0.9538353742925342,1.0,1.08148294091206,2873.725408864908,912.814641165404,358.05377994883287,476.4490417950432
5,9,9.96782626079343,587.0031215930859,113966.21976121384,-72.60568955199406,0.9906,0.20094061121806162,1.3749157768637295,587.0031215930859,330.50918755687763,984.0,7.0,12216.696451764965,5119.020254692651,0.8953019283452013,1.125,0.9411295578070888,1.0,1.090217086275129,5151.190076174925,1540.840162611242,602.7445850933402,657.2955993375128
5,3,12.268093859438066,1140.2324550770008,116028.64779793256,-158.9369729273269,1.2191999999999998,0.2473115214991527,1.514821232891647,1140.2324550770008,432.00937043062754,1553.0,8.0,8218.856923830182,3747.795111608768,0.8807364813503565,1.1111111111111112,0.9452424222139033,1.0,1.0869601770656976,3626.6340241467146,1002.9681779207206,425.2458450204274,508.6482288074236
6,12,9.96782626079343,575.0721638371289,97358.50635309305,-97.26825110070774,0.9906,0.20094061121806162,1.3749157768637295,575.0721638371289,284.3116310679945,964.0,7.0,19860.81660172449,5119.020254692651,0.8966583782644553,1.125,0.9411295578070888,1.0,1.090217086275129,21767.667947298363,1532.075699608581,889.1355438924458,658.2914517247576
6,9,9.96782626079343,587.0031215930859,113966.21976121384,-72.60568955199406,0.9906,0.20094061121806162,1.3749157768637295,587.0031215930859,330.50918755687763,984.0,7.0,12216.696451764965,5119.020254692651,0.8953019283452013,1.125,0.9411295578070888,1.0,1.090217086275129,5151.190076174925,1540.840162611242,602.7445850933402,657.2955993375128
7,14,8.945485105840259,462.5540545386418,93105.4900475308,-81.2021621610713,0.889,0.1416110944057939,1.233898774108475,462.5540545386418,248.41497497677636,864.0,7.0,22159.522226924088,6381.543805193205,0.8803729856430142,1.125,0.9405622378136705,1.0,1.1544160097787217,24289.79667707251,3262.9632753967016,970.5515443796799,828.7570084984985
7,12,9.96782626079343,575.0721638371289,97358.50635309305,-97.26825110070774,0.9906,0.20094061121806162,1.3749157768637295,575.0721638371289,284.3116310679945,964.0,7.0,19860.81660172449,5119.020254692651,0.8966583782644553,1.125,0.9411295578070888,1.0,1.090217086275129,21767.667947298363,1532.075699608581,889.1355438924458,658.2914517247576
