gen,ind,L,objective_function_1,objective_function_2,constraint_ea_min,Ds,lc,ls,A_proj,A_nec,Nt,Nb,Re_t,Res,jl,js,jb,jr,jc,delta_PT,delta_Ps,hio,hs
1,1,14.728589162308483,1926.2989639799116,117835.1217183433,68.48234021691533,1.524,0.3435285786844423,0.9335825991024079,1926.2989639799116,5274.979216691733,1639.0,15.0,1363.297779978878,8045.943034174822,0.7560293431761024,1.0625,0.9493835856473563,1.0,1.0487363569524084,17.900760079261275,2805.22752157743,17.432316307086616,540.117880797144
1,2,13.233895751041306,2024.3864017421365,118536.79084052984,-242.77807498185632,1.524,0.53343213518306,1.3330426849446493,2024.3864017421365,582.0914391592252,2556.0,9.0,5416.680999964296,1461.372859342744,0.8588132354091547,1.1,0.9594717256867812,1.0,0.8333700217606363,2072.6253987887835,48.83376068136958,918.63625745512,203.82938072866878
1,3,7.952434032200886,543.1970831150684,117967.93448135295,66.01229075445048,1.1176,0.3227767650984595,0.8304288594211962,543.1970831150684,1393.2521136185364,856.0,9.0,2610.3330156371276,8839.351884588414,0.854446067631444,1.1,0.9575873625429215,1.0,0.9485865234539363,31.198989014727694,2659.1165296323206,73.04335790149864,651.2602085442786
1,4,10.078454534951105,1307.0665636698986,105648.69008519492,-274.4934194608009,1.4224,0.24659084336716008,0.7744327388824283,1307.0665636698986,344.424039164376,2167.0,13.0,12778.067961152507,2704.4394845063985,0.7432733756487615,1.0714285714285714,0.9552490955456358,1.0,1.1259755838154235,14767.9665897912,241.5933250138931,1825.278463415453,363.1905981024507
1,5,6.974910014747348,470.86082734595647,113496.56941227941,-44.63946266453303,0.9906,0.19128681245843104,1.0205777598795305,470.86082734595647,314.6635379208416,1128.0,6.0,11315.50071162081,6896.311076867586,0.8494942576581309,1.1428571428571428,0.9427207189929153,1.0,1.1047990092489928,3990.571611597322,3171.108976123272,566.9037267774953,817.1463669947371
1,6,4.7697799811868276,70.03252078448934,106572.70787809338,59.66434513116791,0.59055,0.21097896650730213,0.6400627613740772,70.03252078448934,154.4755909826642,184.0,7.0,97149.78527762527,32630.831118932983,0.8681486507308327,1.125,0.9347749749437391,1.0,0.8415484646892659,127288.79076403777,8994.992885944383,2374.5702938618692,1305.0483486843743
1,7,2.482837878119583,1000000.0,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,
1,8,1.5864573170099372,5.696715031638556,3314591.4649863136,98.20720690989694,0.30479999999999996,0.06817716194295317,0.23085892734747387,5.696715031638556,83.86410355908723,60.0,6.0,425462.82675694244,78673.51392081707,0.8519456416724516,1.1428571428571428,0.8902092635519445,1.0,1.1098536318260308,3357684.805452438,77564.90953387527,10319.522159448792,3632.797217131216
1,9,5.567616172097328,162.60502494226742,66426.64827462714,22.865295811834475,0.7874,0.14380215036601182,0.693833517913249,162.60502494226742,197.97359295255922,366.0,8.0,53917.69330058666,6700.60005237775,0.8616133593778773,1.1111111111111112,0.936719034377062,1.0,1.1318714668286725,53761.88362149113,469.71810388173185,4331.150562514224,698.3798460471855
1,10,3.973493358657888,68.4872663689538,110125.79046673956,62.902400817923564,0.59055,0.09891541872918494,0.7812343485829776,68.4872663689538,162.68686979687212,216.0,5.0,91360.53587043851,11606.309387019026,0.8512117912165971,1.1666666666666667,0.8689901678279967,1.0,1.16865445939318,122576.57431006504,729.693843325476,6604.274996673313,899.7154494310992
