gen,ind,L,objective_function_1,objective_function_2,constraint_ea_min,Ds,lc,ls,A_proj,A_nec,Nt,Nb,Re_t,Res,jl,js,jb,jr,jc,delta_PT,delta_Ps,hio,hs
1,1,4.64623469107175,49.49553217727702,83147.15904228526,73.68878204142716,0.43815,0.15396737431845225,0.22487237323994097,49.49553217727702,158.07603601611228,178.0,20.0,33767.49805768744,52962.59726797569,0.8147883136209191,1.0476190476190477,0.9419754012346417,1.0,0.8522703672331986,9280.938483254695,80707.00752553996,1359.4692786914434,2037.6546362279767
1,2,10.12520994236456,658.6860012854341,89566.33986468735,-109.99138603225492,1.0668,0.3140419273950798,1.335791553176843,658.6860012854341,306.377857011728,1087.0,7.0,22118.17720061955,3442.226416092324,0.9238191614342177,1.125,0.9596181844307042,1.0,0.9376937887389563,30130.863570733098,961.0465645795408,969.1025971952909,533.3023169785872
1,3,12.274097538790993,1342.797779097381,119091.75002536595,-121.41448443445009,1.4224,0.2954944538377817,1.6414517407152465,1342.797779097381,593.0706166840391,1371.0,7.0,6519.168669249835,3480.5094801312625,0.8925431492363047,1.125,0.9590812836302872,1.0,1.0777733465811765,874.4259378292977,692.0740368047511,253.1617446204881,452.9444150703579
1,4,4.076719957769443,68.80259846057044,74658.46309334927,61.04129740603081,0.48895,0.11869210820839056,0.8732138462901182,68.80259846057044,156.5164447551499,282.0,4.0,49095.87459542107,9235.40338215973,0.8662277370960758,1.2,0.9024176317374909,1.0,1.0457956524079912,45112.43606815192,887.3508384988156,5357.879912473128,1015.1170111751721
1,5,8.565629326945562,463.4176384959123,119163.41183788617,60.3765490221323,0.9398,0.17206460779955482,1.7330522295169655,463.4176384959123,1038.506947223239,678.0,4.0,3158.9843966392605,7213.272353043551,0.8950849081452896,1.2,0.9288516294981015,1.0,1.1244453449056073,40.87089945795683,1453.9672626558754,102.11811491160408,703.2569348350305
1,6,2.9135478263297925,48.12559215465821,114643.71397379931,75.47644232609441,0.5334,0.12258605640881452,0.6244724231058366,48.12559215465821,163.00742846176033,276.0,4.0,25081.588108530323,9653.739855025357,0.8555182674619803,1.2,0.9070351499413621,1.0,1.0747263764577615,5339.8815263043025,674.6544998963957,3130.6967319496002,1080.0403707156918
1,7,4.7771763927859565,273.8934454595148,97865.25402911729,11.655877437920918,0.9398,0.3630196330675333,1.514821232891647,273.8934454595148,293.42334358262383,958.0,3.0,25096.51212638148,4915.586342037588,0.9235934037108837,1.25,0.9354271347190943,1.0,0.7713856522091028,21864.44032601373,928.5556448689658,1072.1634189519905,547.1988693651919
1,8,6.252147808079215,209.16349849845022,112211.75253584523,58.80598235821833,0.6858,0.17793876656870028,0.7403566177748124,209.16349849845022,452.7934766801179,559.0,8.0,5376.22062099138,14090.895882846156,0.8438729906774627,1.1111111111111112,0.9168232613614111,1.0,1.0100865135973305,207.27765573453803,8239.219808420235,274.2697144531662,1086.6967038635953
1,9,2.9890783886512255,42.754325392682745,103880.43373865473,87.4087718794048,0.43815,0.12056844746872804,0.716991699271769,42.754325392682745,243.04343676054913,239.0,4.0,12574.507644912894,29306.01949258403,0.8580204271990599,1.2,0.8741127038429343,1.0,0.9953003865991291,573.7004525040476,16204.11580884122,616.8265836062681,1760.4251194350825
1,10,13.96402083020083,1730.4758110912794,97861.52386519256,-293.4328245966531,1.524,0.24158191489809935,1.654048,1730.4758110912794,434.3205941536313,1553.0,8.0,19060.407998726383,1971.5435276737376,0.8428695302642948,1.1111111111111112,0.9469419584066984,1.0,1.1467689541007418,22731.87959418972,64.84654061771948,1885.054853038081,262.4178566910241
